feature_term,type,stage,roles,justified_by_cases,enforced_by_rules
abstention_reason,string_enum,COVERAGE_GATE,GATING_OR_RULE_INPUT | REPORT_OR_AUDIT,EVAL-028,COVERAGE-RULE-001
accepted_categories,list_or_object,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-012,PARTNER-RULE-001
action_completion_time,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-015,TIMING-RULE-003
active_recipient_need,string_or_number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-020,DONATION-RULE-001
active_recipient_need_quantity,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-021,DONATION-RULE-002
aggregated_quantity,number,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-016,WHOLESALE-RULE-001
aggregation_allowed,boolean,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-016,WHOLESALE-RULE-001
allocation_mix,list_or_object,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-010,ALLOCATION-RULE-001
analysis_date,string_or_number,SAFETY_OR_VERIFICATION_GATE,GATING_OR_RULE_INPUT,EVAL-024,EXPIRY-RULE-001
available_capacity,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE | OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-021,DONATION-RULE-002
available_cold_capacity,number,OPTIMIZER_OR_REPORT,OPTIMIZER_INPUT_OR_DERIVED_METRIC,EVAL-025,STORAGE-RULE-002
avoided_purchase_cost,number,CANDIDATE_FEATURE_OR_REPORT,REPORT_OR_AUDIT,EVAL-009 | EVAL-010,ALLOCATION-RULE-001 | VALUE-RULE-002
binding_resource,string_enum,CANDIDATE_FEATURE_OR_REPORT,MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-017,CAPABILITY-RULE-002
bundle_ratio,number,FEASIBILITY_GATE,GATING_OR_RULE_INPUT | MODEL_INPUT_CANDIDATE_AFTER_GATE,EVAL-018,BUNDLE-RULE-001
