case_id,title,case_type,primary_stage,optimization_objective,rule_id,expected_routing,expected_best_action_or_set,binding_constraints,justified_features,source_references,source_markdown
EVAL-001,Incomplete Surplus Data Harus Abstain,AMBIGUOUS_INCOMPLETE_INPUT,VALIDATION,BALANCED,VALIDATION-RULE-000,VALIDATION_FAILED | NEEDS_REVIEW | model_scoring=BLOCKED | optimizer_execution=BLOCKED,Tidak ada single best action. Sistem mengembalikan daftar field yang harus diverifikasi.,Required field completeness | No unsupported assumption | No scoring before validation,critical_field_completeness | validation_status | missing_field_list | human_review_required,Incident-001 | Incident_001-016_Family_Corroborated(1).txt,EVAL-001.md
EVAL-002,Internal Repurpose Menang pada Bisnis yang Mampu Memproses,INTERNAL_REPURPOSE_WINS,FEASIBILITY_GATE,BALANCED,CAPABILITY-RULE-001,SURPLUS_CANDIDATE | safety=PASS | coverage=PASS | model_scoring=ALLOWED,Mixed allocation dengan internal repurpose sebagai tindakan utama.,Repurpose capacity=20 | Quantity conservation | Action capability | Remaining shelf life,repurpose_equipment_capacity | labor_capacity | ingredient_capacity | repurpose_demand | expected_yield,Incident-001 | Incident-004,EVAL-002.md
EVAL-003,Harga Partner Tinggi Ditolak karena Pickup Terlambat,TIMING_OVERRIDE_HIGH_PRICE,FEASIBILITY_GATE,BALANCED,TIMING-RULE-001,PARTNER-A rejected before scoring | PARTNER-B feasible | LOCAL_DISCOUNT feasible | DONATION feasible,"Mixed allocation kepada partner aktif, kanal lokal, dan donation fallback.",Safe window | Pickup completion | Partner capacity | Lot quantity,estimated_completion_hours | safe_window_hours | pickup_window | distribution_time | timing_feasibility,External-Incident-003 | External-Incident-005,EVAL-003.md
EVAL-004,Kapasitas Partner Dibagi Secara Global,SHARED_PARTNER_CAPACITY,GLOBAL_OPTIMIZER,BALANCED,CAPACITY-RULE-001,"Kedua lot feasible ke partner, tetapi capacity shared=30","Prioritaskan unit dengan marginal gain tertinggi, lalu fallback untuk remainder.",Shared capacity | Marginal value | Quantity conservation,partner_shared_capacity | marginal_gain_vs_fallback | global_allocation_quantity,External-Incident-005 | External-Incident-006,EVAL-004.md
EVAL-005,Safety Override untuk Kaleng Rusak,HARD_SAFETY_REJECT,SAFETY_GATE,BALANCED,SAFETY-RULE-001,safety=HARD_REJECT | model_scoring=SKIPPED,Safe disposal.,Primary barrier failure | Seal integrity | No safety override,defect_severity | primary_barrier_integrity | seal_integrity | hard_reject_reason,Incident-010,EVAL-005.md
EVAL-006,Seasonality Window Berakhir Sebelum Expiry,SEASONAL_VALUE_WINDOW,FEASIBILITY_GATE,BALANCED,TIMING-RULE-002,"Input lot sudah berada pada layer Core Rescue Planner. | Jalankan validation, coverage, safety, verification, dan feasibility gate sebelum model scoring.",Bundle 8 dan markdown 16.,Bundle capacity | Commercial window | Shelf-life safety remains valid,seasonality_status | remaining_commercial_window_days | remaining_shelf_life_days | post_season_discount,Incident-015,EVAL-006.md
EVAL-007,Supplier Return Menang,SUPPLIER_RETURN_WINS,FEASIBILITY_GATE,BALANCED,RETURN-RULE-001,RETURN_TO_SUPPLIER feasible | LOCAL_DISCOUNT feasible,Return to supplier untuk seluruh lot.,Return eligibility | Confirmed credit | Return deadline | Net recovery after cost,supplier_return_status | return_eligible_quantity | supplier_credit | return_deadline | return_cost,Incident-016,EVAL-007.md
EVAL-008,Markdown Mengalahkan Retur Parsial yang Mahal,LOCAL_DISCOUNT_BEATS_RETURN,EXPECTED_VALUE,BALANCED,VALUE-RULE-001,RETURN_TO_SUPPLIER maksimal 8 | LOCAL_DISCOUNT maksimal 24,Local discount untuk 24 unit.,Net recovery comparison | Partial eligibility | Transport cost,return_eligible_quantity | return_net_recovery | fallback_net_recovery | marginal_gain,Incident-016,EVAL-008.md
EVAL-009,Internal Use Mengalahkan Retur dalam Batas Kebutuhan,INTERNAL_USE_WITH_VERIFIED_NEED,EXPECTED_VALUE,BALANCED,VALUE-RULE-002,"Input lot sudah berada pada layer Core Rescue Planner. | Jalankan validation, coverage, safety, verification, dan feasibility gate sebelum model scoring.",Internal use 10; local discount 20.,Verified need | Avoided cost | Quantity conservation,verified_internal_need | replacement_cost | avoided_purchase_cost | cash_recovery_type,Incident-011,EVAL-009.md
EVAL-010,Mixed Allocation untuk Medium Wholesaler,MULTI_CHANNEL_WHOLESALE_SPLIT,GLOBAL_OPTIMIZER,BALANCED,ALLOCATION-RULE-001,"Input lot sudah berada pada layer Core Rescue Planner. | Jalankan validation, coverage, safety, verification, dan feasibility gate sebelum model scoring.",Mixed allocation penuh tanpa remainder.,Channel capacity | Partner demand | Internal need | Quantity conservation,channel_capacity | allocation_mix | cash_recovery | future_branch_recovery | avoided_purchase_cost,Incident-011 | Incident-013,EVAL-010.md
EVAL-011,Stale Partner Demand Harus Dikeluarkan,STALE_DEMAND,FEASIBILITY_GATE,BALANCED,DEMAND-RULE-001,"Input lot sudah berada pada layer Core Rescue Planner. | Jalankan validation, coverage, safety, verification, dan feasibility gate sebelum model scoring.",Partner aktif 20 dan local discount 10.,Demand freshness | Capacity | Quantity,demand_valid_until | registry_freshness_status | reconfirmation_required,AFTERLIFE_AI_MASTER_BLUEPRINT.md,EVAL-011.md
EVAL-012,Category Mismatch Ditolak Sebelum Scoring,PARTNER_CATEGORY_MISMATCH,FEASIBILITY_GATE,BALANCED,PARTNER-RULE-001,"Input lot sudah berada pada layer Core Rescue Planner. | Jalankan validation, coverage, safety, verification, dan feasibility gate sebelum model scoring.",Compatible partner dan local remainder.,Accepted category | Partner capacity | No price override,category_match_status | accepted_categories | compatibility_rejection_reason,AFTERLIFE_AI_MASTER_BLUEPRINT.md,EVAL-012.md
EVAL-013,Cold Chain Harus Valid End-to-End,COLD_CHAIN_COMPATIBILITY,SAFETY_FEASIBILITY_GATE,BALANCED,STORAGE-RULE-001,"Input lot sudah berada pada layer Core Rescue Planner. | Jalankan validation, coverage, safety, verification, dan feasibility gate sebelum model scoring.",Frozen-compatible partner dan local frozen clearance.,Source storage | Transport storage | Destination storage | Handling continuity,source_storage | transport_storage | destination_storage | cold_chain_status | maximum_out_of_storage_hours,Incident-008 | External-Incident-003,EVAL-013.md
EVAL-014,Logistics Budget Bersifat Global,GLOBAL_LOGISTICS_BUDGET,GLOBAL_OPTIMIZER,BALANCED,BUDGET-RULE-001,"Input lot sudah berada pada layer Core Rescue Planner. | Jalankan validation, coverage, safety, verification, dan feasibility gate sebelum model scoring.",Gunakan budget 30.000 pada kombinasi A+B.,Global budget | Marginal gain vs fallback | Feasibility,global_logistics_budget | candidate_logistics_cost | marginal_gain_per_budget_unit,AFTERLIFE_AI_MASTER_BLUEPRINT.md,EVAL-014.md
EVAL-015,Tindakan Bernilai Tinggi Ditolak karena Terlalu Lambat,HIGH_VALUE_TOO_SLOW,FEASIBILITY_GATE,BALANCED,TIMING-RULE-003,"Input lot sudah berada pada layer Core Rescue Planner. | Jalankan validation, coverage, safety, verification, dan feasibility gate sebelum model scoring.",Partner cepat dan donation fallback.,Completion time | Safe window | Capacity,action_completion_time | deadline_slack | timing_rejection_reason,External-Incident-003 | External-Incident-009,EVAL-015.md
EVAL-016,Wholesale Minimum Order dan Aggregation,WHOLESALE_MOQ,FEASIBILITY_GATE,BALANCED,WHOLESALE-RULE-001,"Input lot sudah berada pada layer Core Rescue Planner. | Jalankan validation, coverage, safety, verification, dan feasibility gate sebelum model scoring.",Aggregate 50 unit dan fallback 5.,MOQ | Compatibility group | Partner capacity | Aggregation policy,wholesale_moq | aggregation_allowed | compatibility_group | aggregated_quantity,Incident-009,EVAL-016.md
EVAL-017,Internal Repurpose Dibatasi Resource Minimum,LIMITED_REPURPOSE_CAPACITY,FEASIBILITY_GATE,BALANCED,CAPABILITY-RULE-002,"Input lot sudah berada pada layer Core Rescue Planner. | Jalankan validation, coverage, safety, verification, dan feasibility gate sebelum model scoring.",Mixed allocation dengan repurpose 20.,Resource minimum | Demand capacity | Quantity conservation,equipment_capacity | labor_capacity | ingredient_capacity | repurpose_demand | binding_resource,Incident-004,EVAL-017.md
EVAL-018,Bundle Companion Stock Dibatasi,LIMITED_BUNDLE_COMPANION,FEASIBILITY_GATE,BALANCED,BUNDLE-RULE-001,"Input lot sudah berada pada layer Core Rescue Planner. | Jalankan validation, coverage, safety, verification, dan feasibility gate sebelum model scoring.","Bundle sesuai companion allocatable, lalu local markdown.",Companion stock | Reserved quantity | Bundle ratio | Demand,companion_stock | reserved_companion_stock | bundle_ratio | max_bundle_quantity,Incident-007,EVAL-018.md
EVAL-019,Bonus Promosi Tidak Boleh Mengarang Sales Uplift,PROMOTIONAL_BONUS_WITHOUT_FAKE_UPLIFT,FEASIBILITY_AND_REPORTING,BALANCED,BONUS-RULE-001,"Input lot sudah berada pada layer Core Rescue Planner. | Jalankan validation, coverage, safety, verification, dan feasibility gate sebelum model scoring.",Bonus terbatas dan fallback lokal.,Qualifying transaction | Bonus per transaction | Campaign margin | No invented causal effect,qualifying_transactions | max_bonus_per_transaction | campaign_margin | direct_cash_recovery | uplift_evidence_status,Incident-001 | Incident-012,EVAL-019.md
EVAL-020,Donasi Sukses dengan Penerima dan Pickup Terverifikasi,VERIFIED_DONATION_SUCCESS,SAFETY_FEASIBILITY_GATE,BALANCED,DONATION-RULE-001,"Input lot sudah berada pada layer Core Rescue Planner. | Jalankan validation, coverage, safety, verification, dan feasibility gate sebelum model scoring.",Donasi seluruh 30 pack.,Quality gate | Verified partner | Active need/capacity | Pickup and distribution deadline,recipient_verification | active_recipient_need | pickup_completion | same_day_distribution | donation_cash_recovery,External-Incident-003 | External-Incident-005 | External-Incident-007,EVAL-020.md
EVAL-021,Donasi Diblokir karena Tidak Ada Jalur Feasible,NO_FEASIBLE_DONATION_PARTNER,FEASIBILITY_AND_FALLBACK,BALANCED,DONATION-RULE-002,"Input lot sudah berada pada layer Core Rescue Planner. | Jalankan validation, coverage, safety, verification, dan feasibility gate sebelum model scoring.",NO_FEASIBLE_DONATION_PARTNER; bounded manual verification; time-triggered safe disposal.,Active need | Pickup completion | Distribution completion | Bounded review,active_recipient_need_quantity | available_capacity | total_donation_completion_time | reverification_cutoff,External-Incident-003 | External-Incident-004 | External-Incident-005,EVAL-021.md
